business_id,city,state,postal_code,stars,review_count,diversity
ORL4JE6tz3rJxVqkdKfegA,Nashville,TN,37214,3.0,1639,4
QjV4v7q_pt7tt3K1US7IHg,Tampa,FL,33617,3.0,5,4
59jkCUm4yHciKL1KW_1HJA,Warrington,PA,18976,2.5,25,3
yM8LlTInbQH4FwWC97lz6w,St. Louis,MO,63104,1.5,100,1
CtMEJxpVMlNzFpB4PtFjfA,Lutz,FL,33559,4.0,75,3
O1oZpbZNDMH_gz8DhsZCdA,Philadelphia,PA,19124,1.5,15,2
vPcfJ3rm3NpdqVDod2WxLA,Langhorne,PA,19047,1.5,27,5
pmuuoDqNZp7518AUd-YmPA,King of Prussia,PA,19406,3.5,60,5
tSFXJ0GFl5iUdy021YgWLw,Indianapolis,IN,46201,5.0,7,2
ZU6NodDOWaabGkeNpOWdXw,Clearwater,FL,33755,4.5,6,1
Dtuf4vD0znzwJW9vk3iTNw,Indianapolis,IN,46240,4.0,246,4
Ucl9Vo5lwrUmYbV8Dv8X5g,Tampa,FL,33618,4.0,108,4
6BF3eaIzHtoNHSxKTFnTyg,Avon,IN,46123,3.5,13,3
Y6heWJJ9AmEL58fZwgi9YQ,Tucson,AZ,85741,4.0,58,2
bTve2mwLk5Zc01vRKqc2KQ,Philadelphia,PA,19147,4.5,183,5
uDQgmudYDKiB6n4vwbEeDg,Franklin,TN,37067,4.5,112,4
VVvUBlc_WIEb8obKGq39dA,Tampa,FL,33607,4.5,39,5
py5aKmlTB2NarfsfcOpHOQ,Tampa,FL,33607,2.5,55,5
wZhGuW7vQpfhxeEvLHkTrA,Meridian,ID,83642,4.5,119,5
n8ecak12IF_jhnPNs37AZA,Philadelphia,PA,19125,4.5,12,1
_T0cPZE2ZJOTTlYYKMP64Q,Philadelphia,PA,19139,4.5,66,1
1dSKEitDDgIkaApe6UNMSA,Nashville,TN,37209,5.0,18,2
rZw9O5lJ36m_mXeRKE4G9A,Downingtown,PA,19335,4.5,29,5
Pr_Mlt9FqdcW7WCFGJmozA,Virginia City,NV,89440,4.5,104,4
e8pMCk4bE0U4qk7z59Lxkg,Philadelphia,PA,19130,4.5,11,3
zVlhs7BVaouutt-rles-YA,Saint Petersburg,FL,33709,4.5,99,2
1E9o1SNo7UTf1XHTFPv1_Q,Franklin,TN,37064,4.5,66,5
f82dhKNiUXsDVPMLqKYiIQ,Tucson,AZ,85719,4.0,446,1
FF45pKN_lzqG8Bqk-_HQvw,Saint Louis,MO,63116,4.5,49,3
bDAlJYMIzwOewIThe2IZjQ,Indianapolis,IN,46221,4.0,12,3
SRexiuEsx1d9-dZVUsssQA,Brandon,FL,33511,3.5,24,2
xJyp6RLqNRv3tSu6njPKxQ,Exton,PA,19341,3.0,208,3
1P_mGUY1PyPq7_ZabrzpBw,Saint Louis,MO,63102,4.0,261,1
XwoXi0M66RU6Gouq-DSDHw,Odessa,FL,33556,4.0,82,4
0DbIUh_Xuj6H5B_SF0RLCQ,Brownsburg,IN,46112,4.0,74,2
bSJczuohHVko33UT82hnfA,New Orleans,LA,70113,4.0,302,3
rmHgqdVkLsGN2byesWRo0w,Maple Shade,NJ,8052,3.5,12,4
aNXw3PkXVt8ANwLyCfcmpg,Lansdale,PA,19446,1.5,17,2
GVqXNt0HKJLpciN9ePxnWw,Philadelphia,PA,19146,2.5,16,2
dChRGpit9fM_kZK5pafNyA,Philadelphia,PA,19103,4.0,618,1
uyc-S7lauYjzouYQ2TM76A,Saint Louis,MO,63136,2.0,9,3
YE2TePip0TxcdquF5hGauQ,Goodlettsville,TN,37072,4.5,14,5
KdkMXzeoqpfNsZd-_axoTQ,Reno,NV,89503,4.5,41,5
od6skmfXz9twktEAuJHEmw,Narberth,PA,19072,4.0,120,3
j9Kaj_6tSeXmVMYCgZithg,Wesley Chapel,FL,33543,4.5,496,3
EIlFs8kybcG-l60GJjNUIA,Oldsmar,FL,34677,2.5,20,1
QWqKTWQ2OiDgo3dzNkpung,Philadelphia,PA,19126,4.5,351,3
Wt1W6qwCvna1KzIuJRJbwA,Glassboro,NJ,8028,4.0,88,4
ifjluUv4VASwmFqEp8cWlQ,Santa Barbara,CA,93105,4.0,64,1
bPPy7yNFfb-6N_bHkn1qAw,Indianapolis,IN,46201,3.0,17,3
516L9-ZWyqVgzqjP5uW7Jg,Tampa,FL,33602,4.0,6,4
7mpYTDb24SywNMRn3yeakQ,Philadelphia,PA,19147,4.0,604,4
iEC0VzHM2hQ13wM7c0QwgQ,Langhorne,PA,19047,3.5,56,3
OlD8UoHqrKnLoZUFxuas_w,Spring Hill,FL,34608,2.5,5,1
D7z_V6E8cxXghSRcHAmUPg,Tucson,AZ,85706,4.0,92,3
gb7JjRJtzWDsIWpJihZhBQ,Pennsville,NJ,8070,2.0,20,1
JPm93BlP-UHYPqFgK66JUw,Haddon Heights,NJ,8035,4.5,70,1
VeFfrEZ4iWaecrQg6Eq4cg,Goleta,CA,93117,4.0,189,3
hsyIDX4x4ndYEvPoJF6_1g,St. Louis,MO,63109,4.5,22,5
rR30b1XWbxZFFgLyGbfNAw,Indianapolis,IN,46202,4.5,132,5
4QFqi8w3rlZTcc5LXKyPJw,View,TN,37146,4.0,31,5
QZLOM3T6xl7y1Q6zqoqHWg,Brookhaven,PA,19015,3.5,26,5
9qxMhGWjGsuPUoQB3Y74Wg,St. Louis,MO,63101,1.5,62,1
pJB63RaQpkTIKBhfTsLQQg,Noblesville,IN,46060,4.0,83,2
TGfPJHImEq6AQL9a1laxlg,Philadelphia,PA,19114,4.0,80,5
CPgWuWGZ4v2sZr5_-1kluw,Philadelphia,PA,19121,2.0,21,1
VCkSUsdL5P0p16DAPxVROA,Philadelphia,PA,19123,4.0,31,5
dIpTuL2T1L98GQGU17IeSw,Tampa,FL,33605,4.0,548,2
XRkzSBTroG7kIdI7Z8ic6g,Metairie,LA,70001,3.0,51,5
1tLrjXG-I9hkOoZxlbwDqw,Norristown,PA,19401,4.0,9,2
SlLfWzeYOrVBxCd-0QILZQ,Cherry Hill,NJ,8003,4.0,238,2
adATTqggIQX5xxLDISkFTw,Tucson,AZ,85705,5.0,25,1
bdfZdB2MTXlT6-RBjSIpQg,Isla Vista,CA,93117,3.0,184,5
ZpmSEd9N042IJanBiKlKiQ,Boise,ID,83702,4.0,19,1
SwWfW3vBn5QkDE7T3urGAg,Mount Juliet,TN,37122,4.5,246,2
W4rgF_1eKzFZiGUOsgbGMA,Carmel,IN,46032,4.0,243,2
yN6jZyG1G1FG_HCZQlJZ1g,Fishers,IN,46038,4.0,188,5
-lVTNjVoTMOkD-eT--u0oA,Saint Charles,MO,63303,3.5,66,2
TCxvQgfBD6_JjOM3N1VPRA,High Ridge,MO,63049,4.5,8,5
0sr1EyOc6Td1C-962QW88w,Conshohocken,PA,19428,4.0,44,5
SFKjUQ1gmfwm7cJhMCFmkA,Hernando Beach,FL,34607,4.0,214,5
frsWe9bmMOMIBOBNzsCTew,Florissant,MO,63033,4.0,26,1
xwSWtJcQkzTF6HNm_IMgcg,Goleta,CA,93117,2.5,94,3
yFqq66GxRjnhZXPgjA6hnw,Philadelphia,PA,19124,2.0,7,4
IbndcMURguByburM72o3SA,Newtown,PA,18940,4.5,124,2
diwwt5QBU3-Thig9SVlsOA,Reno,NV,89501,3.5,592,5
3uvFklejzRPwEPEZQ5vHYQ,Media,PA,19063,3.5,14,5
0l_njS4wGMadAk1b4nZRUA,King of Prussia,PA,19406,2.5,58,2
lB6jIOb1UBATmdfot4KJew,Saint Louis,MO,63123,4.0,126,2
cm0bhBDPM3bjBefmEXa3BQ,Chadds Ford,PA,19317,3.5,63,1
MObScX791gFEwtkoFA9GQg,Woodstown,NJ,8098,3.5,20,3
3c9TiufCFT2yXXj3R08Vwg,Plant City,FL,33563,3.5,64,1
TJe1ZGe-X0-GjOQd00kKxA,Boise,ID,83714,4.0,115,4
nHUJCK-Ek_lAVTSyEz9GEQ,Spring Hill,FL,34608,4.5,10,2
A1lAqN3SOaBLoo6NqVcy4Q,Brandon,FL,33511,2.0,6,4
kGjpBqAqG4mIuFSgU2KKEA,Philadelphia,PA,19103,4.0,28,3
kLSEk3qXY1KdtFjxHJ9pww,Philadelphia,PA,19154,1.5,20,3
uKEabBQrn0gLzvTppOrKIA,Saint Petersburg,FL,33704,4.5,207,3
8JEOmVGQffkr6xtn4vvplQ,Ruskin,FL,33570,4.0,142,3
rF0xI_3jjlsEKp3N0Z0BuQ,Conshohocken,PA,19428,4.0,135,2
qma1sGQv7ArUtzuUTQElRg,Town and Country,MO,63017,4.0,313,3
zjQDk4tZyhEroyqtkgvx0g,Lebanon,IL,62254,3.5,52,5
jsQQu9rVerR3OGxIa0hRQQ,Bryn Mawr,PA,19010,3.0,63,5
Hp3Ony7yW60VPuWHQFIIHA,New Orleans,LA,70117,4.5,73,3
UX3eq0WsVva-cqlVrzyzFg,Sparks,NV,89431,3.0,284,4
aSJdDcspNCf-2oNF2E6SJQ,Jennings,MO,63136,2.0,6,3
hDiCHlTXKGUj1Yh4tq223w,Indianapolis,IN,46221,3.0,26,1
sophKEDc2rBDe-cuOaJDkA,Wesley Chapel,FL,33543,4.5,127,1
18eWJFJbXyR9j_5xfcRLYA,Carpinteria,CA,93013,4.5,460,2
KsDY9IYqvumohkp74w5i6A,Voorhees,NJ,8043,4.0,21,3
VK5NEKDHnZG8YcAw2JpaWw,Spring City,PA,19475,3.0,29,5
dBCNUSbz5-8nQNrxWo5deg,Southampton,PA,18966,4.5,572,1
71U7MxQEhwitJOm4CQpRwQ,Tampa,FL,33629,4.0,325,3
mYbEGFsRcA0tfUNSYcBJMA,Riverside,NJ,8075,5.0,8,2
Mt1FB8hM4XTi3Tk4i0q5gQ,Lambertville,NJ,8530,4.0,54,4
2DsplH_vy4GCcEnVpn0AbA,Indianapolis,IN,46204,4.5,34,4
sWCCxY1-9B1FGlSVeQvnHg,St Petersburg,FL,33710,4.0,125,5
wcpL6sD6jKsBO0tbdK2KEA,Fishers,IN,46038,2.0,34,3
ZH-D4qbLggBSvwpF0zXrQQ,Boise,ID,83704,4.0,155,5
zIDuAuwyaLmNwv4k18mbwA,Indianapolis,IN,46254,3.5,167,1
Gki1ureeRKqlIkQ-AELDVg,Nashville,TN,37201,3.5,49,3
q2N2KLhAeD0c0p-ryI3uDg,Brownsburg,IN,46112,3.5,14,3
q4m9o8LDJRrdU1DcgcAm3w,Clearwater,FL,33761,2.5,10,4
JomDoQafikclSVVCPkWjnA,Philadelphia,PA,19143,4.0,301,4
gI34hM-873fwF1XQ8hOaSg,Godfrey,IL,62035,4.0,17,5
1ddqdY_piKp-abaZ-bGRSA,New Orleans,LA,70119,3.5,226,4
0pMj5xUAecW9o1P35B0AMw,Norristown,PA,19403,3.5,8,4
gl9APAes1BYYt_8UsDVsPg,Largo,FL,33770,4.0,37,4
gyUBYwpUO_u0nqZdre4l1g,Marlton,NJ,8053,4.0,74,1
wMyHVb54Ne9SNasa4kjOCg,St. Louis,MO,63110,4.5,281,3
4FaYG9qKDpDyr68bKmaIEw,Boise,ID,83702,4.0,176,3
rqaIe-61HKlWaGYmVwlw8Q,Boise,ID,83706,4.5,121,3
kq5Ghhh14r-eCxlVmlyd8w,Philadelphia,PA,19103,4.0,65,5
MYoRNLb5chwjQe3c_k37Gg,Philadelphia,PA,19134,3.5,6,2
L7mbUPFMAfetY0fzuYtZ_g,Delran,NJ,8075,3.0,7,5
7Ct4QuWaY63DkAOXqEiVGA,Glenolden,PA,19036,3.0,18,5
Wc-c_hQK4vFCl9keeVTUZw,New Orleans,LA,70124,3.5,255,1
YhQAQhG1IkXJH7oLZMbM9w,Sparks,NV,89431,1.5,60,1
qMmEEvmRvcyJUD5SrKNCtA,Indianapolis,IN,46254,3.0,20,1
NVpbPRDvfwjb85CJwWE0nQ,Huntingdon Valley,PA,19006,4.0,55,5
LVteL0Rnh2E_yOFCLJUPhg,Media,PA,19063,4.0,88,5
HjLYCBxJti8V-hsP_yVZ3w,Boise,ID,83702,4.0,280,2
Iuir7lUtx-LMhYtStwyf3Q,Indianapolis,IN,46250,4.0,26,2
vVm2qH6n4tWzN_qv6PBIVw,Tampa,FL,33647,3.5,32,2
skN2XhKXlcjf53uIwzAedw,Franklin,TN,37067,3.5,329,4
du_yelFmWOZDEyIAE-jdsQ,New Orleans,LA,70112,2.0,9,1
y1HgVnt4K5owmYXC5yXLGg,Philadelphia,PA,19130,4.5,138,1
vo12FJ4dAdP8Jr4ctFYRkg,Mount Juliet,TN,37122,4.0,46,5
8P7YOM9ThhTvLqXfSWRcRA,Creve Coeur,MO,63141,3.5,65,3
I2CxrvM0BGH1svfxqGGD2g,Nashville,TN,37204,3.5,472,4
wMJlbZt2vOTG_FV96gkRVA,Cherry Hill,NJ,8002,3.5,6,2
RrqRin8BYGrTlJbCDwtLzA,Philadelphia,PA,19104,3.5,50,1
2vAqYNN86VWXZiy2E96-TQ,Tucson,AZ,85719,3.0,13,4
wUEbysNWCtMSQAio6Ktn6Q,Fort Washington,PA,19034,3.0,22,1
W4ZEKkva9HpAdZG88juwyQ,New Orleans,LA,70130,4.0,2064,5
3swM60bulnut1d4AZti80Q,Tucson,AZ,85705,3.5,37,3
4fUok5d5vgdQEb1Bzzg0rA,Kenner,LA,70065,3.5,115,2
bdth7r1brx9yRU7sYwF9jQ,Ballwin,MO,63011,4.0,254,5
g7GCbnZC_HKO0ybNt7NXBw,Nashville,TN,37214,1.0,6,1
iNMdSi5bmvGSGeRQiUW4dw,Tucson,AZ,85714,2.5,14,5
rBE5TT_ndOOczNBrbRnJwA,Tampa,FL,33602,4.0,325,2
oRZzKWdyMQld6N_y4UWkAg,Tampa,FL,33624,4.0,316,5
LKGlZW0mmuoXvKB04FSP-A,Turnersville,NJ,8012,3.5,26,5
dUctvEfHQccW_uxtRup2QQ,Saint Petersburg,FL,33710,3.0,212,2
TSgZB6PkWFjmasewVkySjA,Indianapolis,IN,46205,3.0,10,4
K5ffo0hkwhG33BDNQrJF6A,Doylestown,PA,18901,4.0,105,3
oQYZ3j2H758y07p4RpCWug,Tucson,AZ,85719,4.5,89,4
lgu_KwQLd8TX2ewsNIzsjA,St Louis,MO,63112,4.5,69,3
HuDNHqKv9n1mWpe4BqCnwA,Philadelphia,PA,19128,3.0,54,1
XQnb4KnTqO-QdvEFYpcwAA,Westwego,LA,70094,2.5,11,1
H2nFgEFitRk7ltE8IRH0xA,Tampa,FL,33609,2.5,42,5
koeubKPpi6ax4FDh7_zcWg,Trenton,NJ,8611,5.0,5,1
BxR5hjyBnJZrm_nnaCtGQw,Philadelphia,PA,19134,4.5,29,2
T9n_LqUUhC2b1ALhg57Y5Q,Bensalem,PA,19020,4.0,240,1
slie9368A_rG70_1Wxe50g,Tucson,AZ,85716,2.5,27,2
_NhT0A3LUEd75L_cEXf2_A,Wilmington,DE,19805,3.0,7,4
NQSnr4RPUScss607oxOaqw,Philadelphia,PA,19111,4.5,116,3
Ea2hPSFazxXITET4f6ZJhw,Lutz,FL,33549,3.0,46,3
C3roKH0ekXBz8l0ZoUIvAA,Tucson,AZ,85705,4.0,9,3
7utsfp2dXJ09j8Gb9hAIvA,Bridgeport,PA,19405,4.5,89,5
joeRm-_7T0XTkMdKo2nbaA,Wayne,PA,19087,4.5,126,3
k0AO8X3VzWe_F4lkMb0eSg,Moorestown,NJ,8057,4.5,202,3
_HcAoG6Jj_XTj4-XNEbo6Q,Tampa,FL,33617,3.0,172,3
MuKoTR56s6elHEI2wUkgJA,St. Louis,MO,63110,4.5,470,2
V6Om7YZhlRQRU7WfuxHq8Q,Philadelphia,PA,19107,4.0,485,3
COclRBaXBjYpomS4syUmvg,Indianapolis,IN,46220,4.0,170,1
qUHaTDZlzjPXSvXrLk66mw,Mount Laurel Township,NJ,8054,4.5,196,2
DOl21AqtT74dUZ3kvXNNcA,Philadelphia,PA,19147,4.5,159,3
wgcSbX3osqRibWW7pVyfww,Tucson,AZ,85745,2.0,13,2
FzelkV3vzxkRgBmVSIqALA,Glen Carbon,IL,62034,3.0,34,4
MKy5T5exCdH4IUVlYPtWkw,Indianapolis,IN,46226,3.5,14,3
GfDdZfZeq690h3AS5QbjvA,Boise,ID,83704,3.5,22,4
qbPsfIKJZQAlrPaYmSyZuQ,Sparks,NV,89431,4.0,7,2
lj-E32x9_FA7GmUrBGBEWg,St Louis,MO,63131,3.5,366,3
QNxXsVPYcecUuhGRG-88OQ,Tampa,FL,33604,4.0,101,3
RzGr37s8p2ujVuN9of7ksQ,Nashville,TN,37211,4.5,44,3
isbeaPln-E0DdffLRsuFhw,Washington Crossing,PA,18977,4.0,109,2
5wgoIQXyP3BEPZLiVi1W8A,New Orleans,LA,70130,3.5,213,2
2FOU5-I_eCGVNdr8R5wciQ,Zionsville,IN,46077,4.0,27,2
i8UZblHPk2O-iNKJrnWQ_Q,Tucson,AZ,85710,2.5,26,5
hTyJhpH7Bl5moMWQb4Sosg,Tampa,FL,33647,5.0,88,5
2quqM0ajKfTC_DV8sLAvxQ,Meridian,ID,83642,3.5,39,3
IXv-g1iK3Hwsnxp0vT8OgA,Tucson,AZ,85704,2.5,71,4
PvT44WlqJLkUrCITo6AjRA,Philadelphia,PA,19118,3.0,151,4
7pxE4BFDibv6Q7MBbNOPQA,Indianapolis,IN,46268,3.5,45,1
i6kNeNRrER8ocnpkBJ3wBA,Drexel Hill,PA,19026,3.0,54,5
xPSetcLWfl_3JoENfGf89w,Ballwin,MO,63021,4.0,37,1
ziFtaIQdzQfFL79iLTq_zQ,Folsom,PA,19033,4.0,48,4
7p4iMnA_hE1Gpz6Yoc7TOQ,Reno,NV,89431,4.5,23,4
uE3yzH2l1A_FYciu95EptA,Franklin,TN,37064,4.0,157,2
aYJjJMN8heS2PmkvsQzaZg,New Orleans,LA,70116,4.5,137,3
yS0TsUzKBQlHQCZZeBrxww,Indianapolis,IN,46254,4.5,176,4
7L2E_JyL7L2vgVAxArcUYg,Fenton,MO,63026,4.0,12,5
QkyEr9j7il9lJqseTbPe5w,Media,PA,19063,3.5,192,3
XGV6orMei8NRfmbpsRC3Rg,Indianapolis,IN,46268,4.0,28,4
8SqvtaRu9likNDAfAU-HBQ,Nashville,TN,37214,3.0,15,2
CE9wc-UtRIwiyo5i4QO1Og,Eagle,ID,83616,4.0,156,3
7CBsFEzEny_Ro833RS6Acg,Nashville,TN,37243,3.5,9,4
AaWmckcT3O1iQSAIUmzwUA,Clearwater,FL,33767,4.0,339,4
vQ3bOb_sq0peWxJx3VoCDw,Indianapolis,IN,46280,4.0,42,3
-rTJCKclkU_ZnoQb4oKa9w,Saint Petersburg,FL,33703,4.5,60,2
5TVWytR2oNbSKYgfxypuBw,Saint Louis,MO,63110,4.0,229,3
nBr6NgqcZz1GhtAngU0RSQ,Philadelphia,PA,19125,4.5,10,3
_1jlbXWMxN50PQlaRpev7A,Cherry Hill,NJ,8003,4.5,79,4
UFpCraqzFBAhtZqmxmiWsA,Santa Barbara,CA,93101,4.5,116,2
jcmqREAt1nOg3ABv4ZeD3w,Tampa,FL,33607,4.5,27,2
y44MbCvvtmg1FpkNGSWisw,Philadelphia,PA,19153,2.5,172,2
diqXZ9CBFlIHW7i9UHefhw,Nashville,TN,37211,1.5,9,2
sway6xsRT_CUC6peK_Pyww,Nashville,TN,37219,3.5,178,5
IazLGcO9aggJnMMa_5UO1Q,Collegeville,PA,19426,5.0,6,3
0HgAYe8KZ_8nHyELHFwrpA,Lansdale,PA,19446,2.0,13,5
uxoQdZD3mEptaPohiLQg1w,Kimberton,PA,19442,4.5,56,3
LSdg7x7HhUdvYUevvYVHjQ,Philadelphia,PA,19102,2.5,8,5
_49FsmTfruZSTjxU4OwOsg,Nashville,TN,37212,3.5,120,2
24Rr4ALt3fDNROR5LEgp0g,Godfrey,IL,62035,2.5,22,3
E9-k8aOCS2sSh9RYxvWU_A,East Norriton,PA,19401,3.0,69,4
AuTmUY381to83xPwovoERg,Madison,TN,37115,2.5,31,1
yzRC9gyhblU3a5hDct2S2Q,Ardmore,PA,19003,4.0,34,3
KidSvYABnawyuS_3lIYQzQ,Lansdale,PA,19446,4.0,5,1
IS0B5nLJPluVT8NwGgospA,Fairview Heights,IL,62208,2.5,187,4
dERS4qwl9v-Gwft-Ug8APA,Jenkintown,PA,19046,4.0,277,1
Xjal8g4PsYinAfeQ8RWf4Q,West Chester,PA,19382,4.5,78,4
-JStjL-8mRZq4ov4uI1FaQ,Dublin,PA,18917,4.0,96,5
UVpki6wyHLR0mujHcneTfg,Harahan,LA,70123,4.0,6,4
U30ggGzFpXvc2NZYwOW3qg,Philadelphia,PA,19143,4.5,458,3
YUlWhx8rq_Pc5yVKrp2awQ,Indianapolis,IN,46221,4.0,23,4
X64JH5kXOjWsBCsGxmFSIw,Old Hickory,TN,37138,3.5,35,3
NKplFLr1UebQxMLQAxALPQ,Indianapolis,IN,46250,3.5,78,2
0t14RIHl4wODz7LRiRRQ0Q,Palm Harbor,FL,34683,4.5,103,2
5fvs7pOE6amG17SiPovxjw,Tampa,FL,33617,2.5,7,4
jLaPtjlLfRSaoBWIcHcSQg,University City,MO,63130,3.5,156,1
dE_MaaYrXBAEebtH2u_B-w,Philadelphia,PA,19141,3.5,13,3
Z5LGSHEYjCUtKwjKotCNqA,Wayne,PA,19087,3.0,52,5
68ThEdiK0eWCEgGEmV9Tng,Philadelphia,PA,19146,4.0,323,5
0_gh-ZRllduRLrjaYy0Icg,Narberth,PA,19072,3.0,13,4
jkkzfaJf-MTG4nmJcX1zzw,West Chester,PA,19380,4.0,15,1
VOEN8f9WEysinBsLqbiVqg,Metairie,LA,70002,2.5,218,2
JWFpjvCc_nkNDVtMPx1ZGg,Santa Barbara,CA,93101,4.5,12,3
gzln_L7ch8z-Ob6autmumw,Seminole,FL,33772,4.0,223,3
c7DQU8rHH_GjLdeIvanQmg,Pitman,NJ,8071,3.5,59,4
J7Oo9rhwX7O3ak54pu_Mhg,Nashville,TN,37214,3.5,14,2
wDE1AfRVCKUL11hKehQEfQ,Doylestown,PA,18902,3.5,26,4
h2nBTqJVHAyltyeq7sZZ-w,Mullica Hill,NJ,8062,4.0,232,1
cEG1r9aRMJwmRQVkh7eiJg,Philadelphia,PA,19129,4.5,31,5
idRTl_xdqB12GWXIsisW-g,Seminole,FL,33777,2.5,18,4
LC-qVqvkMRmK_ed-SImCXQ,King of Prussia,PA,19406,3.5,38,5
9dm_v79s9-pefMahqp1SkA,Indianapolis,IN,46205,4.0,178,5
DMmdMkh7sIhUHgVawGxY6g,Malvern,PA,19355,4.0,11,3
nFjk0xVI9fNiVN__5g-m8Q,Saint Petersburg,FL,33701,4.0,264,1
QEF6usO04AtvrazPhLX_sw,Ferguson,MO,63135,4.0,15,1
TttFjRQ-8Iz8by4hsD7iOQ,Philadelphia,PA,19147,4.5,49,2
niEm9LkcLOrvsDzjXD6WpQ,Harvey,LA,70058,3.5,113,5
aurl4I40YVQfQ8loOdgKCg,Philadelphia,PA,19123,3.5,11,4
V4THIJk9uhoxL7f06fK5VA,Sparks,NV,89431,5.0,38,2
ifofBiQeb6DI0-u0KEQybg,New Orleans,LA,70130,4.0,24,4
_cndcbuaqSRW5f-MeZasNw,Nashville,TN,37211,3.0,142,2
WMI3BjDby0U-IF6NnN0SXA,Cherry Hill,NJ,8034,3.0,27,2
0oogOBGXNj39Wnl2SKoe0w,Port Richey,FL,34668,4.5,80,5
iq0qAJ2Oc3myUTTMLseTXA,West Chester,PA,19380,3.5,71,3
tXf6TpqHOLiwyMNbYAOOCQ,Clearwater,FL,33759,4.5,307,3
WQ832PDnsDshhbQFm83ISg,Tampa,FL,33618,3.0,285,2
5PDNXMquh1C9E089G1RY2g,Indianapolis,IN,46229,3.5,10,1
UJE-f8gVEB2za5QPZd_wVw,Kenner,LA,70065,2.0,16,5
3GGGwkQ8A0ICQTfwTKPiQw,Springfield,TN,37172,2.0,10,1
Y3ZCO17N1_T_Ms1JmswwzA,Tucson,AZ,85713,4.0,397,1
AjEg3RzLzQwv4xPPzTc6wQ,Metairie,LA,70005,1.5,23,1
di5ihAL9VWoctHelY8kLTQ,Philadelphia,PA,19104,4.0,81,4
