postal_code,Mexican,Chinese,Italian,Cafe,Fastfood,Mexican_stars,Chinese_stars,Italian_stars,Cafe_stars,Fastfood_stars,Mexican_review_count,Chinese_review_count,Italian__review_count,Cafe_review_count,Fastfood_review_count,Neighborhood Tiers
19036,3.0,4.0,4.0,3.0,8.0,3.7,3.6,3.5,2.7,3.5,66.0,66.0,151.0,140.0,190.0,Tier3
19038,10.0,7.0,9.0,13.0,11.0,3.8,3.5,4.3,3.7,3.4,728.0,539.0,580.0,786.0,642.0,Tier2
19040,8.0,9.0,4.0,9.0,6.0,3.8,3.8,3.8,4.1,3.8,466.0,372.0,295.0,347.0,367.0,Tier2
19041,1.0,1.0,0.0,2.0,0.0,4.0,2.5,0.0,4.0,0.0,134.0,25.0,0.0,248.0,0.0,Tier1
19043,1.0,0.0,3.0,4.0,1.0,1.5,0.0,2.7,3.0,3.5,13.0,0.0,55.0,186.0,26.0,Tier3
19044,8.0,9.0,11.0,12.0,7.0,3.4,3.3,3.4,3.3,3.4,897.0,314.0,745.0,1549.0,797.0,Tier2
19046,10.0,5.0,16.0,8.0,5.0,3.4,3.0,3.8,3.5,4.4,915.0,387.0,1332.0,744.0,143.0,Tier2
19047,20.0,16.0,21.0,10.0,15.0,3.4,3.5,3.5,3.2,3.2,2188.0,1089.0,836.0,860.0,881.0,Tier2
19050,8.0,6.0,7.0,9.0,4.0,3.5,3.4,3.4,3.3,3.0,328.0,234.0,298.0,218.0,90.0,Tier3
19053,16.0,19.0,8.0,18.0,9.0,3.5,3.3,3.1,3.6,3.4,968.0,1007.0,651.0,1108.0,402.0,Tier2
19054,3.0,3.0,2.0,5.0,1.0,3.3,3.5,4.2,4.1,3.5,93.0,71.0,160.0,175.0,20.0,Tier3
19055,5.0,4.0,3.0,2.0,4.0,3.1,3.2,2.7,3.5,3.5,79.0,185.0,42.0,122.0,102.0,Tier3
19056,7.0,4.0,8.0,4.0,5.0,3.0,2.8,3.2,3.1,3.0,139.0,75.0,401.0,169.0,83.0,Tier2
19057,4.0,4.0,7.0,8.0,7.0,3.5,3.9,3.7,3.9,3.2,267.0,116.0,394.0,213.0,383.0,Tier3
19060,4.0,2.0,1.0,0.0,2.0,3.8,3.8,4.5,0.0,3.5,82.0,30.0,32.0,0.0,84.0,Tier1
19061,9.0,4.0,5.0,10.0,9.0,3.5,3.2,3.7,3.3,3.4,260.0,200.0,111.0,317.0,134.0,Tier3
19063,17.0,20.0,16.0,15.0,22.0,3.8,3.5,3.7,3.7,3.8,1270.0,2783.0,1902.0,1309.0,1534.0,Tier1
19064,15.0,19.0,9.0,16.0,5.0,2.9,3.4,3.1,3.4,3.6,974.0,1582.0,926.0,624.0,170.0,Tier2
19066,0.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,1.5,4.0,0.0,320.0,0.0,36.0,88.0,Tier1
19067,19.0,16.0,15.0,15.0,17.0,3.6,3.5,3.7,3.8,3.4,1380.0,1451.0,695.0,900.0,1423.0,Tier2
19070,1.0,3.0,0.0,2.0,3.0,4.5,2.8,0.0,3.0,2.8,25.0,67.0,0.0,49.0,130.0,Tier2
19072,7.0,3.0,4.0,4.0,1.0,3.7,3.8,3.9,3.6,4.0,226.0,176.0,402.0,197.0,12.0,Tier1
19073,9.0,7.0,6.0,9.0,10.0,3.2,3.6,4.0,3.8,3.6,890.0,422.0,118.0,896.0,653.0,Tier1
19074,3.0,0.0,0.0,2.0,0.0,4.2,0.0,0.0,3.0,0.0,171.0,0.0,0.0,19.0,0.0,Tier3
19075,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.2,4.0,4.5,29.0,9.0,45.0,56.0,45.0,Tier2
19076,3.0,3.0,6.0,3.0,2.0,3.8,3.8,3.7,2.8,4.0,154.0,155.0,221.0,40.0,68.0,Tier3
19078,1.0,5.0,5.0,2.0,2.0,4.0,3.4,3.6,2.8,4.2,215.0,217.0,260.0,48.0,80.0,Tier3
19079,3.0,0.0,0.0,1.0,2.0,3.2,0.0,0.0,3.0,2.0,38.0,0.0,0.0,24.0,29.0,Tier3
19081,6.0,1.0,3.0,3.0,0.0,3.5,3.5,4.0,4.3,0.0,333.0,31.0,109.0,125.0,0.0,Tier2
19082,10.0,21.0,15.0,13.0,11.0,3.7,3.1,3.5,3.8,3.4,423.0,1203.0,526.0,843.0,371.0,Tier3
19083,8.0,13.0,8.0,15.0,12.0,3.5,3.2,3.9,4.1,3.5,427.0,602.0,896.0,863.0,570.0,Tier1
19085,3.0,1.0,2.0,2.0,0.0,4.0,4.0,4.0,3.5,0.0,213.0,97.0,132.0,279.0,0.0,Tier1
19086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,Tier1
19087,22.0,9.0,11.0,16.0,19.0,3.7,3.9,3.5,3.5,3.8,3009.0,840.0,943.0,2071.0,1940.0,Tier1
19090,12.0,11.0,16.0,13.0,12.0,3.3,2.8,3.2,3.2,3.7,717.0,880.0,724.0,1647.0,1403.0,Tier2
19094,3.0,2.0,1.0,4.0,4.0,2.8,3.8,3.0,3.8,3.4,40.0,23.0,14.0,215.0,60.0,Tier3
19095,4.0,0.0,4.0,5.0,2.0,3.6,0.0,2.5,2.5,3.5,81.0,0.0,148.0,92.0,92.0,Tier2
19096,3.0,2.0,1.0,6.0,3.0,3.7,3.2,4.5,3.7,3.8,666.0,297.0,52.0,829.0,138.0,Tier1
19102,27.0,13.0,19.0,18.0,28.0,3.6,3.6,3.5,3.6,3.4,6784.0,1732.0,5198.0,5573.0,7904.0,Tier1
19103,53.0,38.0,48.0,50.0,51.0,3.8,3.8,3.8,3.8,3.8,15737.0,8695.0,13018.0,11646.0,12566.0,Tier1
19104,55.0,52.0,55.0,36.0,49.0,3.6,3.4,3.6,3.5,3.7,5910.0,6439.0,4381.0,5074.0,5066.0,Tier3
19106,21.0,28.0,31.0,26.0,33.0,3.6,3.7,3.9,3.8,3.8,2182.0,9752.0,9401.0,8154.0,9328.0,Tier1
19107,65.0,49.0,63.0,74.0,72.0,3.8,3.7,3.7,3.9,3.6,24187.0,13464.0,15469.0,18326.0,25209.0,Tier1
19111,11.0,11.0,12.0,17.0,7.0,3.5,3.0,3.0,2.9,3.7,359.0,310.0,368.0,422.0,458.0,Tier2
19114,15.0,10.0,13.0,14.0,13.0,3.4,3.3,3.2,3.1,3.4,1003.0,492.0,975.0,267.0,840.0,Tier2
19115,8.0,7.0,8.0,18.0,11.0,3.8,3.0,3.2,3.6,3.0,326.0,317.0,502.0,1145.0,688.0,Tier1
19116,9.0,12.0,9.0,12.0,8.0,3.7,3.5,3.4,3.6,3.5,754.0,715.0,299.0,826.0,339.0,Tier1
19118,4.0,5.0,15.0,10.0,4.0,3.1,4.0,3.9,3.6,3.2,304.0,469.0,1593.0,1291.0,316.0,Tier1
19119,6.0,5.0,7.0,5.0,7.0,4.3,4.3,3.6,2.9,3.9,683.0,277.0,613.0,551.0,444.0,Tier1
19120,21.0,9.0,16.0,17.0,7.0,3.5,2.7,3.0,3.5,3.5,1144.0,126.0,157.0,427.0,359.0,Tier3
19121,6.0,5.0,11.0,3.0,9.0,2.9,3.0,3.5,4.2,3.3,189.0,265.0,372.0,52.0,394.0,Tier3
19122,21.0,11.0,12.0,10.0,15.0,4.2,3.9,3.7,3.9,3.6,1497.0,507.0,1050.0,930.0,1589.0,Tier2
19123,20.0,22.0,31.0,33.0,24.0,3.9,3.8,3.8,3.7,3.9,3715.0,4212.0,7047.0,4365.0,3971.0,Tier1
19124,7.0,10.0,15.0,8.0,16.0,3.3,2.9,3.4,2.9,2.7,178.0,230.0,517.0,131.0,349.0,Tier3
19125,11.0,24.0,19.0,23.0,18.0,4.0,3.9,3.9,3.8,4.3,1965.0,3720.0,3318.0,4142.0,1763.0,Tier1
19126,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.2,3.8,2.8,14.0,13.0,1151.0,85.0,150.0,Tier2
19127,11.0,13.0,7.0,11.0,11.0,3.7,3.7,4.3,4.0,3.9,1907.0,2425.0,781.0,3360.0,1433.0,Tier2
19128,15.0,8.0,15.0,16.0,18.0,3.5,3.3,3.6,3.6,3.6,3841.0,881.0,1014.0,1257.0,1316.0,Tier1
19129,2.0,2.0,5.0,4.0,5.0,4.2,3.0,3.2,3.1,4.2,418.0,211.0,525.0,265.0,400.0,Tier2
19130,28.0,18.0,17.0,22.0,20.0,3.8,3.8,4.2,3.9,3.8,4383.0,4365.0,3430.0,4346.0,3152.0,Tier1
19131,8.0,9.0,9.0,12.0,9.0,2.2,2.7,3.1,2.8,3.2,281.0,318.0,418.0,1037.0,523.0,Tier3
19132,5.0,7.0,10.0,3.0,2.0,4.0,2.5,3.2,3.0,3.5,84.0,168.0,209.0,58.0,188.0,Tier3
19133,2.0,4.0,1.0,3.0,4.0,1.8,3.2,3.5,3.0,3.9,36.0,156.0,25.0,25.0,96.0,Tier3
19134,13.0,19.0,19.0,17.0,5.0,3.9,3.7,3.8,3.0,3.5,1002.0,416.0,445.0,498.0,189.0,Tier3
19135,10.0,13.0,10.0,11.0,9.0,3.1,3.1,3.2,3.1,3.9,272.0,813.0,327.0,219.0,192.0,Tier3
19136,9.0,7.0,10.0,12.0,5.0,3.2,3.7,3.4,3.4,3.9,287.0,232.0,391.0,1359.0,197.0,Tier2
19137,1.0,2.0,3.0,5.0,1.0,3.0,3.2,3.2,3.2,2.5,41.0,51.0,73.0,142.0,10.0,Tier2
19138,6.0,3.0,4.0,4.0,3.0,3.0,2.7,3.2,2.9,2.8,122.0,225.0,199.0,445.0,58.0,Tier3
19139,4.0,7.0,13.0,3.0,12.0,3.2,3.6,3.1,4.3,2.9,782.0,346.0,183.0,31.0,360.0,Tier3
19140,7.0,12.0,12.0,4.0,16.0,3.4,3.9,3.0,2.6,3.3,116.0,204.0,384.0,37.0,1440.0,Tier3
19141,3.0,6.0,3.0,4.0,6.0,2.8,2.3,3.0,3.0,3.3,53.0,52.0,111.0,68.0,234.0,Tier3
19142,7.0,2.0,11.0,5.0,2.0,3.6,4.0,3.5,2.5,2.8,149.0,14.0,286.0,175.0,62.0,Tier3
19143,12.0,19.0,12.0,19.0,10.0,3.8,3.8,3.8,3.6,3.3,562.0,1764.0,1353.0,1565.0,879.0,Tier3
19144,13.0,10.0,9.0,13.0,6.0,3.3,3.6,3.2,2.8,3.0,444.0,243.0,330.0,275.0,56.0,Tier3
19145,23.0,19.0,19.0,12.0,23.0,3.8,3.6,3.5,4.0,3.7,1648.0,2786.0,1138.0,1067.0,1630.0,Tier2
19146,23.0,21.0,15.0,17.0,19.0,4.0,4.0,3.9,3.6,3.6,3517.0,2097.0,2032.0,2222.0,2676.0,Tier1
19147,43.0,53.0,59.0,49.0,56.0,4.0,4.1,3.9,4.0,4.0,5794.0,11978.0,16317.0,11879.0,12186.0,Tier1
19148,41.0,39.0,41.0,24.0,36.0,3.5,3.9,3.9,3.6,3.7,2377.0,3809.0,4307.0,2554.0,6148.0,Tier2
19149,12.0,18.0,14.0,18.0,14.0,3.5,3.3,3.0,3.4,2.9,412.0,1791.0,317.0,1282.0,545.0,Tier2
19150,7.0,6.0,7.0,2.0,5.0,2.9,3.0,3.1,3.5,2.9,123.0,102.0,259.0,79.0,256.0,Tier2
19151,8.0,8.0,7.0,7.0,8.0,3.0,3.1,2.6,2.9,2.9,233.0,338.0,106.0,191.0,136.0,Tier3
19152,9.0,11.0,11.0,4.0,8.0,3.2,3.5,3.4,3.1,3.8,342.0,764.0,371.0,218.0,462.0,Tier2
19153,9.0,14.0,15.0,15.0,15.0,3.0,2.5,2.9,2.9,2.7,644.0,722.0,1900.0,750.0,572.0,Tier2
19154,2.0,6.0,8.0,4.0,6.0,2.0,3.0,3.3,2.8,3.2,227.0,245.0,652.0,253.0,139.0,Tier2
19301,5.0,5.0,6.0,9.0,4.0,2.8,4.1,3.7,3.9,3.6,179.0,247.0,436.0,618.0,89.0,Tier2
19311,3.0,3.0,0.0,4.0,4.0,3.2,3.0,0.0,3.6,3.1,57.0,58.0,0.0,278.0,32.0,Tier2
19312,7.0,6.0,6.0,7.0,4.0,4.1,4.0,3.9,2.9,4.1,737.0,748.0,476.0,256.0,279.0,Tier1
19317,3.0,3.0,2.0,7.0,3.0,3.5,4.0,4.0,3.8,3.0,322.0,535.0,170.0,404.0,261.0,Tier1
19320,1.0,0.0,4.0,3.0,0.0,4.0,0.0,2.9,3.2,0.0,34.0,0.0,136.0,64.0,0.0,Tier3
19333,0.0,1.0,4.0,2.0,1.0,0.0,4.5,3.6,3.5,4.0,0.0,92.0,374.0,71.0,302.0,Tier1
19335,14.0,14.0,15.0,13.0,9.0,3.6,3.4,3.5,3.5,3.6,767.0,644.0,1630.0,617.0,636.0,Tier2
19341,9.0,20.0,23.0,16.0,16.0,3.3,3.4,3.7,2.9,3.3,636.0,1154.0,2014.0,1189.0,1317.0,Tier2
19342,14.0,12.0,8.0,8.0,13.0,3.9,3.8,3.6,3.4,3.2,1598.0,741.0,556.0,1238.0,1246.0,Tier1
19343,1.0,1.0,0.0,0.0,2.0,4.0,3.5,0.0,0.0,4.0,19.0,9.0,0.0,0.0,106.0,Tier2
19348,18.0,12.0,12.0,14.0,8.0,3.6,3.8,3.4,3.8,4.3,1174.0,836.0,689.0,770.0,390.0,Tier2
19355,15.0,9.0,15.0,24.0,10.0,4.1,3.7,3.3,3.4,4.0,1643.0,859.0,1422.0,1409.0,1089.0,Tier1
19372,2.0,0.0,5.0,5.0,2.0,4.0,0.0,2.8,2.7,3.0,97.0,0.0,230.0,133.0,115.0,Tier3
19374,0.0,1.0,1.0,0.0,1.0,0.0,4.5,3.0,0.0,3.5,0.0,28.0,71.0,0.0,5.0,Tier3
19380,17.0,23.0,23.0,16.0,17.0,4.0,3.6,3.4,3.5,3.6,1065.0,1490.0,1431.0,633.0,1630.0,Tier2
19382,22.0,19.0,11.0,21.0,18.0,3.5,3.4,3.2,3.8,3.9,2004.0,1233.0,578.0,1437.0,1317.0,Tier2
19401,21.0,23.0,15.0,17.0,12.0,3.6,3.7,3.6,3.5,4.0,785.0,1332.0,548.0,1338.0,355.0,Tier3
19403,15.0,20.0,9.0,16.0,14.0,3.4,3.6,3.8,3.7,3.5,948.0,1107.0,395.0,561.0,910.0,Tier2
19405,2.0,1.0,3.0,3.0,4.0,2.8,2.5,3.8,3.8,4.0,189.0,50.0,426.0,172.0,197.0,Tier3
19406,16.0,24.0,32.0,18.0,26.0,3.5,3.2,3.3,3.3,3.2,1720.0,4591.0,4452.0,2458.0,3872.0,Tier2
19421,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,Tier2
19422,4.0,11.0,7.0,8.0,7.0,4.0,3.4,3.6,3.4,3.5,379.0,1251.0,900.0,814.0,503.0,Tier1
19423,0.0,1.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,Tier2
19425,2.0,6.0,2.0,3.0,7.0,4.0,3.7,3.8,4.2,3.7,61.0,362.0,224.0,69.0,498.0,Tier1
19426,16.0,15.0,11.0,11.0,9.0,3.4,3.6,3.7,3.8,3.7,1193.0,1312.0,756.0,1033.0,788.0,Tier2
19428,10.0,14.0,15.0,15.0,17.0,3.4,3.3,3.5,3.6,3.7,904.0,1827.0,1613.0,2492.0,2136.0,Tier2
19437,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,119.0,Tier1
19438,10.0,4.0,6.0,4.0,5.0,3.4,3.6,3.8,3.8,3.8,323.0,198.0,205.0,536.0,211.0,Tier2
19440,7.0,4.0,4.0,5.0,5.0,3.5,3.5,3.8,3.6,4.1,309.0,62.0,63.0,124.0,293.0,Tier2
19442,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,56.0,117.0,0.0,Tier2
19444,3.0,3.0,2.0,2.0,5.0,3.5,3.7,3.8,4.2,3.9,268.0,100.0,71.0,482.0,555.0,Tier2
19446,18.0,26.0,14.0,13.0,19.0,3.7,3.5,3.5,3.6,3.9,1141.0,1689.0,710.0,1241.0,685.0,Tier2
19450,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Tier2
19453,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,12.0,14.0,0.0,Tier3
19454,12.0,10.0,11.0,20.0,9.0,3.3,3.7,3.5,3.2,3.5,1005.0,831.0,917.0,1933.0,1373.0,Tier2
19456,2.0,0.0,5.0,0.0,1.0,3.2,0.0,3.3,0.0,3.0,143.0,0.0,511.0,0.0,9.0,Tier2
19460,18.0,20.0,16.0,14.0,17.0,3.2,3.3,3.5,4.0,3.6,1336.0,1446.0,1017.0,1324.0,1233.0,Tier2
19462,3.0,5.0,8.0,5.0,5.0,3.5,3.5,3.0,3.4,3.1,246.0,638.0,1537.0,848.0,365.0,Tier2
19464,11.0,20.0,18.0,13.0,22.0,3.3,3.6,3.4,3.5,3.3,241.0,1148.0,837.0,532.0,736.0,Tier3
19465,5.0,6.0,3.0,7.0,2.0,3.7,3.6,3.3,4.2,2.8,149.0,225.0,51.0,251.0,61.0,Tier2
19468,10.0,15.0,11.0,12.0,14.0,3.8,3.5,3.4,3.3,3.3,715.0,1495.0,540.0,554.0,661.0,Tier2
19472,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Tier3
19473,5.0,4.0,2.0,2.0,5.0,3.7,4.0,3.2,3.8,3.6,177.0,122.0,70.0,78.0,283.0,Tier2
19474,3.0,1.0,2.0,3.0,3.0,3.7,2.5,3.8,4.3,4.0,192.0,95.0,45.0,59.0,218.0,Tier3
19475,1.0,3.0,3.0,1.0,4.0,3.5,3.7,4.2,3.5,3.4,24.0,77.0,107.0,32.0,127.0,Tier2
19477,2.0,1.0,2.0,3.0,1.0,3.5,3.5,2.5,3.3,4.0,81.0,161.0,36.0,471.0,92.0,Tier1
19486,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,137.0,0.0,0.0,Tier2
19490,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,26.0,0.0,81.0,Tier1
19492,2.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,Tier2
19512,4.0,3.0,6.0,3.0,7.0,3.4,3.5,4.1,4.5,3.9,145.0,107.0,124.0,104.0,164.0,Tier2
19520,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,Tier2
